;Hotel;checkIn;checkOut;Estrellas;Ratio;Ratio_descr;Direcciones;Ammenities;Servicios_Principales;lugaresInteres;Transporte;tamanyo;entradaSalida;documentacion;mascotas;internet;aparcamiento;AmmenitiesAlojamiento;AmmenitiesHabitacion;habitaciones
0;Apartamentos Poniente Playa;2022-07-01;2022-07-02;3 estrellas;"7,8
.";"Bueno
.";C/ Velázquez, 8, Sant Antoni de Portmany, 7820, Ibiza, España;"Aparcamiento gratis
Piscina
Wifi gratis
Aceptan mascotas
Bañera
Cocina";;"Paseo de Poniente de San Antonio: 8 min a pie
Playa de Caló des Moro: 1 min a pie
Coves Blanques: 2 min a pie
Caló des Moro: 2 min a pie
Iglesia de San Antonio: 11 min a pie
Passeig de ses Fonts: 11 min a pie
Puerto deportivo de Sant Antoni: 12 min a pie
Acuario Aquarium Cap Blanc: 12 min a pie
Huevo de Colón: 13 min a pie
Playa de Cala Gració: 14 min a pie
Playa de S'Arenal: 1,4 km";Ibiza (IBZ): 33 min en coche;"56 apartamentos
Tiene 5 plantas";"Hora de entrada: 14:00-cualquier hora del día
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";"Se admiten mascotas (solo perros y gatos)*
Se aceptan animales de servicio
Solo en determinadas habitaciones*
3 por habitación (hasta 30.00 kg)
Se ofrecen servicios como boles de comida y agua y areneros";"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";"Aparcamiento sin asistencia gratuito en las instalaciones
Aparcamiento gratuito cercano fuera de las instalaciones
Aparcamiento en la calle disponible";;;"
8
Apartamento, 1 habitación (Aire acondicionado)
Para 4 personas (incluyendo hasta 3 menores)
MOSTRAR MÁS INFORMACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
-5 %
157 €
150 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 30/06/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
-5 %
174 €
166 €

Detalles del precio
RESERVAR

8
Apartamento, 2 habitaciones, balcón (Aire acondicionado)
Para 6 personas (incluyendo hasta 5 menores)
Más grande que la mayoría de los tipos de habitaciones de este alojamiento
MOSTRAR MÁS INFORMACIÓN
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
-5 %
207 €
197 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 30/06/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
-5 %
229 €
218 €

Detalles del precio
RESERVAR"
1;Hotel Orosol;2022-07-01;2022-07-02;3 estrellas;"8,8
.";"Fabuloso
.";Cami General, 1, Sant Antoni de Portmany, 07820, Ibiza, España;"Desayuno gratis
Aparcamiento gratis
Wifi gratis
Bar
Habitaciones comunicadas disponibles";;"En pleno centro de Sant Antoni de Portmany
Paseo de Poniente de San Antonio: 12 min a pie
Iglesia de San Antonio: 3 min a pie
Coves Blanques: 5 min a pie
Huevo de Colón: 5 min a pie
Playa de S'Arenal: 7 min a pie
Puerto deportivo de Sant Antoni: 7 min a pie
Passeig de ses Fonts: 10 min a pie
Caló des Moro: 10 min a pie
Playa de Caló des Moro: 10 min a pie
Parque de bolas zorb Air Zone Ibiza: 17 min a pie";Ibiza (IBZ): 26 min en coche;"Este alojamiento tiene 63 habitaciones
Este alojamiento tiene 7 plantas";"Hora de entrada: 14:00-cualquier hora del día
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";No se admiten mascotas ni animales de servicio;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";"Aparcamiento sin asistencia gratuito en las instalaciones
Aparcamiento gratuito fuera de las instalaciones a 50 m";"Comida y bebida
Desayuno bufé gratuito todos los días
Bar o lounge
Cafetería
Snack-bar o delicatessen
Atracciones y actividades
Acceso a la piscina al aire libre en los alrededores
Alquiler de bicicletas en las inmediaciones
Alquiler de scooters o ciclomotores en las inmediaciones
Trabajo
Sala de ordenadores
Servicios
Recepción abierta las 24 horas
Asistencia turística y para la compra de entradas
Servicio de tintorería/lavandería
Lavandería
Periódicos gratis en el vestíbulo
Consigna de equipaje
Instalaciones
Número de edificios o torres: 1
Ascensor
Cajero automático o banco
Caja fuerte en la recepción
Terraza
Accesibilidad
Habitación accesible en silla de ruedas
Ducha adaptada
Baño público accesible en silla de ruedas
Ruta accesible en silla de ruedas hacia el ascensor
Recepción accesible en silla de ruedas
Lounge accesible en silla de ruedas
Idiomas
Español
Francés
Inglés
Italiano";;"
14
Habitación con 2 camas individualesVistas a la ciudad
Para 2 personas
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
No reembolsable
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
129 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 03/06/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
136 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 29/06/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
143 €

Detalles del precio
RESERVAR"
2;Hotel Puchet;2022-07-01;2022-07-02;3 estrellas;"8,0
.";"Muy bueno
.";Avenue Doctor Fleming, 51, Sant Antoni de Portmany, 07820, Ibiza, España;"Aparcamiento gratis
Piscina
Wifi gratis
Traslado al aeropuerto
Gimnasio
Restaurante";"Servicios principales
212 habitaciones
Servicio de limpieza diario
Cerca de la playa
Restaurante y bar o lounge
Desayuno disponible
Piscina al aire libre de temporada";"Paseo de Poniente de San Antonio: 24 min a pie
Playa de Cala Conta: 11,5 km
Dalt Vila: 15,9 km
Puerto de Ibiza: 16,4 km
Playa de Talamanca: 17 km
Playa d'en Bossa: 18,8 km
Playa Las Salinas: 24,2 km";"Ibiza (IBZ): 19 min en coche
Servicio de transporte al aeropuerto de pago";"Este alojamiento tiene 212 habitaciones
Este alojamiento tiene 3 plantas";"Hora de entrada: 16:00-cualquier hora del día
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";No se admiten mascotas ni animales de servicio;Conexión wifi gratis en las zonas comunes;Traslado hasta el aeropuerto (disponible las 24 horas)*;;;"
6
Habitación doble
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
Cancelación gratis
Hasta el 28/06/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
158 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 28/06/2022
Pago en el alojamiento disponible
Incluye desayuno y cena
Hoteles.com® Rewards
Acumula
Canjea
194 €

Detalles del precio
RESERVAR
Doble Standard
2 camas individuales grandes
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Cancelación gratis
Hasta el 24/06/2022
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
174 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 24/06/2022
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
213 €

Detalles del precio
RESERVAR

3
Habitación Deluxe
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Cancelación gratis
Hasta el 28/06/2022
Pago en el alojamiento disponible
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
204 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 28/06/2022
Pago en el alojamiento disponible
Incluye desayuno y cena
Hoteles.com® Rewards
Acumula
Canjea
240 €

Detalles del precio
RESERVAR

7
Suite junior
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Cancelación gratis
Hasta el 28/06/2022
Pago en el alojamiento disponible
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
284 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 28/06/2022
Pago en el alojamiento disponible
Incluye desayuno y cena
Hoteles.com® Rewards
Acumula
Canjea
320 €

Detalles del precio
RESERVAR"
3;Hostal Mallorca;2022-07-01;2022-07-02;2 estrellas;"8,8
.";"Fabuloso
.";C/Bartolomé Vicente Ramón,19, Sant Antoni de Portmany, 07820, Ibiza, España;"Wifi gratis
Aparcamiento disponible
Bañera
Restaurante
Bar";;"Paseo de Poniente de San Antonio: 11 min a pie
Iglesia de San Antonio: 5 min a pie
Coves Blanques: 7 min a pie
Puerto deportivo de Sant Antoni: 7 min a pie
Huevo de Colón: 7 min a pie
Playa de Caló des Moro: 7 min a pie
Caló des Moro: 8 min a pie
Passeig de ses Fonts: 10 min a pie
Playa de S'Arenal: 11 min a pie
Acuario Aquarium Cap Blanc: 18 min a pie
Playa de Cala Gració: 1,6 km";Ibiza (IBZ): 31 min en coche;"37 habitaciones
Tiene 4 plantas";"Hora de entrada: 14:00-0:00
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";Cunas no disponibles;"No se admiten mascotas
Se aceptan animales de servicio";"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";"Comida y bebida
Desayuno continental diario (de pago)
Restaurante
Bar o lounge
Cafetería
Snack-bar o delicatessen
Atracciones y actividades
Mesa de billar o pool
Servicios
Recepción (horario limitado)
Asistencia turística y para la compra de entradas
Consigna de equipaje
Atención multilingüe
Instalaciones
Número de edificios o torres: 1
Ascensor
Caja fuerte en la recepción
Accesibilidad
Recepción accesible en silla de ruedas
Idiomas
Alemán
Catalán
Español
Inglés
Italiano
Japonés";;"
9
Habitación doble
Para 2 personas (incluyendo un menor como máximo)
2 camas individuales
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
99 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 28/06/2022
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
110 €

Detalles del precio
RESERVAR"
4;Hostal Costa Blanca;2022-07-01;2022-07-02;1 estrella;"9,0
.";"Increíble
.";C/ Ramon Muntaner 75, Ciudad de Ibiza, 07800, Balearic Islands, España;"Wifi gratis
Bañera
Para no fumadores";;"En Centro de la ciudad de Ibiza
Dalt Vila: 15 min a pie
Puerto de Ibiza: 18 min a pie
Playa d'en Bossa: 22 min a pie
Playa de Talamanca: 42 min a pie
Baluarte de Sant Pere: 12 min a pie
Paseo Vara de Rey: 12 min a pie
Teatro Pereyra: 14 min a pie
Baluarte de Sant Jaume: 15 min a pie
Museo de Arte Contemporáneo de Ibiza: 15 min a pie
Puerto deportivo Botafoch: 15 min a pie";Ibiza (IBZ): 14 min en coche;25 habitaciones;"Hora de entrada: 15:00-0:00
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";Cunas no disponibles;No se admiten mascotas ni animales de servicio;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";;;"
12
Habitación doble
Para 2 personas (incluyendo un menor como máximo)
1 cama doble o 2 camas individuales
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
Cancelación gratis
Hasta el 24/06/2022
Pago en el alojamiento disponible
Wifi gratis
Hoteles.com® Rewards
Acumula
Canjea
-5 %
155 €
147 €

Detalles del precio
RESERVAR"
5;Hostal Residencia Adelino;2022-07-01;2022-07-02;1 estrella;"8,4
.";"Muy bueno
.";C/Alicante, 16, Sant Antoni de Portmany, 07820, Ibiza, España;"Piscina
Wifi gratis
Bañera
Restaurante
Bar
Zonas para fumadores";;"Paseo de Poniente de San Antonio: 12 min a pie
Iglesia de San Antonio: 6 min a pie
Playa de Caló des Moro: 7 min a pie
Caló des Moro: 8 min a pie
Coves Blanques: 8 min a pie
Puerto deportivo de Sant Antoni: 8 min a pie
Huevo de Colón: 8 min a pie
Passeig de ses Fonts: 11 min a pie
Playa de S'Arenal: 12 min a pie
Acuario Aquarium Cap Blanc: 16 min a pie
Playa de Cala Gració: 1,4 km";Ibiza (IBZ): 29 min en coche;"44 habitaciones
Tiene 5 plantas";"Hora de entrada: 13:00-22:00
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";Cunas no disponibles;No se admiten mascotas;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";"Comida y bebida
Desayuno diario (de pago)
Restaurante
Bar o lounge
Servicio de habitaciones
Atracciones y actividades
Número de piscinas al aire libre: 1
Tumbonas de piscina
Alquiler de bicicletas en las inmediaciones
Trabajo
Sala de ordenadores
Servicios
Recepción (horario limitado)
Servicios de conserjería
Asistencia turística y para la compra de entradas
Consigna de equipaje
Instalaciones
Número de edificios o torres: 1
Ascensor
Caja fuerte en la recepción
Espacios para fumadores
Terraza
Televisión en las zonas comunes
Accesibilidad
Baño accesible en silla de ruedas
Habitación accesible en silla de ruedas
Ducha adaptada
Idiomas
Alemán
Catalán
Español
Inglés";;"
5
Habitación con 2 camas individuales
Para 2 personas
2 camas individuales
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
101 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 17/06/2022
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
110 €

Detalles del precio
RESERVAR

9
Habitación con 2 camas individuales, balcón
Para 2 personas
2 camas individuales
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
110 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 17/06/2022
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
119 €

Detalles del precio
RESERVAR

5
Habitación, 1 cama de matrimonio
Para 2 personas
1 cama de matrimonio
Más grande que la mayoría de los tipos de habitaciones de este alojamiento
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
119 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 17/06/2022
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
130 €

Detalles del precio
RESERVAR

6
Habitación triple
Para 3 personas
3 camas individuales
Más grande que la mayoría de los tipos de habitaciones de este alojamiento
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
152 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 17/06/2022
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
161 €

Detalles del precio
RESERVAR"
6;Hostal La Cigüeña;2022-07-01;2022-07-02;3.5 estrellas;"9,0
.";"Increíble
.";Cala Arenal Petit,, Sant Joan de Labritja, 07810, Balearic Islands, España;"Desayuno gratis
Piscina
Wifi gratis
Aparcamiento disponible
Restaurante
Para no fumadores";;"En la playa
Playa de S'Arenal: 1 min a pie
Playa de Portixol: 1 min a pie
S'Arenal Petit: 5 min a pie
Punta Galera: 6 min a pie
Puerto Portinatx: 9 min a pie
Playa Sa Guardiola: 12 min a pie
Torre de Portinatx: 16 min a pie
Playa des Xuclar: 22 min a pie
Faro de Moscarter: 25 min a pie
Playa S'lllot d'es Rencli: 32 min a pie";Ibiza (IBZ): 40 min en coche;23 habitaciones;"Hora de entrada: 13:00-21:00
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";Cunas no disponibles;No se admiten mascotas;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";"Comida y bebida
Desayuno bufé gratuito todos los días
Restaurante
Bar o lounge
Atracciones y actividades
Piscina al aire libre de temporada
Servicios
Recepción (horario limitado)
Lavandería
Instalaciones
Ascensor
Idiomas
Español";;"
4
Habitación doble
Para 2 personas (incluyendo un menor como máximo)
2 camas individuales
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
No reembolsable
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
146 €

Detalles del precio
RESERVAR

5
Habitación doble superior, vistas al marVista al mar
Para 2 personas (incluyendo un menor como máximo)
2 camas individuales
Más grande que la mayoría de los tipos de habitaciones de este alojamiento
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
No reembolsable
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
207 €

Detalles del precio
RESERVAR"
7;Hostal Los Pinos;2022-07-01;2022-07-02;2 estrellas;"8,4
.";"Muy bueno
.";Calle Pou den Cardona 27, Santa Eulària des Riu, 07849, Ibiza, España;"Wifi gratis
Bañera
Para no fumadores";;"Playa de Es Canar: 4 min a pie
Mercadillo Punta Arabí Hippy Market: 10 min a pie
Playa Cala Martina: 15 min a pie
Cala Nova: 15 min a pie
Playa de S'Argamassa: 20 min a pie
Playa de Cala Pada: 25 min a pie
Punta Arabi: 25 min a pie
Es Niu Blau: 37 min a pie
Mercadillo Las Dalias Hippy Market: 4 km
Puerto deportivo de Santa Eulalia: 4,4 km
Palacio de Congresos de Ibiza: 4,4 km";Ibiza (IBZ): 36 min en coche;10 habitaciones;Horario del registro de salida: 11:00;"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.";No se admiten mascotas;"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";No hay aparcamiento en las instalaciones;"Comida y bebida
Desayuno continental diario (de pago)
Atracciones y actividades
Alquiler de bicicletas en las inmediaciones
Alquiler de scooters o ciclomotores en las inmediaciones
Servicios
Recepción (horario limitado)
Consigna de equipaje
Instalaciones
Caja fuerte en la recepción
Terraza
Accesibilidad
Accesible en silla de ruedas
Cerrojos/cerradura a baja altura
Puertas con manilla
Pasillos de ancho adecuado para sillas de ruedas
Idiomas
Catalán
Español
Inglés";;"
10
Habitación triple estándar
Para 3 personas (incluyendo hasta 2 menores)
3 camas individuales
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
151 €

Detalles del precio
RESERVAR
No reembolsable
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
163 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 28/06/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
167 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 28/06/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
180 €

Detalles del precio
RESERVAR"
8;Apartamentos Poniente Playa;2022-07-02;2022-07-03;3 estrellas;"7,8
.";"Bueno
.";C/ Velázquez, 8, Sant Antoni de Portmany, 7820, Ibiza, España;"Aparcamiento gratis
Piscina
Wifi gratis
Aceptan mascotas
Bañera
Cocina";;"Paseo de Poniente de San Antonio: 8 min a pie
Playa de Caló des Moro: 1 min a pie
Coves Blanques: 2 min a pie
Caló des Moro: 2 min a pie
Iglesia de San Antonio: 11 min a pie
Passeig de ses Fonts: 11 min a pie
Puerto deportivo de Sant Antoni: 12 min a pie
Acuario Aquarium Cap Blanc: 12 min a pie
Huevo de Colón: 13 min a pie
Playa de Cala Gració: 14 min a pie
Playa de S'Arenal: 1,4 km";Ibiza (IBZ): 33 min en coche;"56 apartamentos
Tiene 5 plantas";"Hora de entrada: 14:00-cualquier hora del día
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";"Se admiten mascotas (solo perros y gatos)*
Se aceptan animales de servicio
Solo en determinadas habitaciones*
3 por habitación (hasta 30.00 kg)
Se ofrecen servicios como boles de comida y agua y areneros";"Conexión wifi gratis en las zonas comunes
Conexión wifi gratis en las habitaciones";"Aparcamiento sin asistencia gratuito en las instalaciones
Aparcamiento gratuito cercano fuera de las instalaciones
Aparcamiento en la calle disponible";;;"
8
Apartamento, 1 habitación (Aire acondicionado)
Para 4 personas (incluyendo hasta 3 menores)
MOSTRAR MÁS INFORMACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
-5 %
157 €
150 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 01/07/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
-5 %
174 €
166 €

Detalles del precio
RESERVAR

8
Apartamento, 2 habitaciones, balcón (Aire acondicionado)
Para 6 personas (incluyendo hasta 5 menores)
Más grande que la mayoría de los tipos de habitaciones de este alojamiento
MOSTRAR MÁS INFORMACIÓN
No reembolsable
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
-5 %
207 €
197 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 01/07/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
-5 %
229 €
218 €

Detalles del precio
RESERVAR"
9;Hotel Puchet;2022-07-02;2022-07-03;3 estrellas;"8,0
.";"Muy bueno
.";Avenue Doctor Fleming, 51, Sant Antoni de Portmany, 07820, Ibiza, España;"Aparcamiento gratis
Piscina
Wifi gratis
Traslado al aeropuerto
Gimnasio
Restaurante";"Servicios principales
212 habitaciones
Servicio de limpieza diario
Cerca de la playa
Restaurante y bar o lounge
Desayuno disponible
Piscina al aire libre de temporada";"Paseo de Poniente de San Antonio: 24 min a pie
Playa de Cala Conta: 11,5 km
Dalt Vila: 15,9 km
Puerto de Ibiza: 16,4 km
Playa de Talamanca: 17 km
Playa d'en Bossa: 18,8 km
Playa Las Salinas: 24,2 km";"Ibiza (IBZ): 19 min en coche
Servicio de transporte al aeropuerto de pago";"Este alojamiento tiene 212 habitaciones
Este alojamiento tiene 3 plantas";"Hora de entrada: 16:00-cualquier hora del día
Horario del registro de salida: 11:00";"Es obligatorio presentar una tarjeta de crédito o de débito, o dejar un depósito en efectivo, para posibles cargos adicionales.
Pueden pedirte un documento de identidad válido.
La edad mínima para realizar el registro de entrada es de 18 años.";No se admiten mascotas ni animales de servicio;Conexión wifi gratis en las zonas comunes;Traslado hasta el aeropuerto (disponible las 24 horas)*;;;"
6
Habitación doble
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Opciones
Programa de fidelidad de Hoteles.com
Precio de hoy impuestos y tasas incluidos
Cancelación gratis
Hasta el 29/06/2022
Pago en el alojamiento disponible
Wifi gratis
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
158 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 29/06/2022
Pago en el alojamiento disponible
Incluye desayuno y cena
Hoteles.com® Rewards
Acumula
Canjea
193 €

Detalles del precio
RESERVAR
Doble Standard
2 camas individuales grandes
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Cancelación gratis
Hasta el 25/06/2022
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
174 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 25/06/2022
Desayuno disponible (se paga en el alojamiento)
Hoteles.com® Rewards
Acumula
Canjea
213 €

Detalles del precio
RESERVAR

3
Habitación Deluxe
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Cancelación gratis
Hasta el 29/06/2022
Pago en el alojamiento disponible
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
204 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 29/06/2022
Pago en el alojamiento disponible
Incluye desayuno y cena
Hoteles.com® Rewards
Acumula
Canjea
239 €

Detalles del precio
RESERVAR

7
Suite junior
MOSTRAR INFORMACIÓN SOBRE LA HABITACIÓN
Cancelación gratis
Hasta el 29/06/2022
Pago en el alojamiento disponible
Desayuno para 2 personas
Hoteles.com® Rewards
Acumula
Canjea
284 €

Detalles del precio
RESERVAR
Cancelación gratis
Hasta el 29/06/2022
Pago en el alojamiento disponible
Incluye desayuno y cena
Hoteles.com® Rewards
Acumula
Canjea
319 €

Detalles del precio
RESERVAR"
